Source,Type,Target,Weight
Lopahin,Undirected,Dunjasha,3
Lopahin,Undirected,Epihodov,2
Lopahin,Undirected,Varja,8
Lopahin,Undirected,Anja,5
Lopahin,Undirected,LjubovAndreevna,16
Lopahin,Undirected,Gaev,13
Lopahin,Undirected,Firs,4
Lopahin,Undirected,Pischik,6
Lopahin,Undirected,Jasha,5
Lopahin,Undirected,Sharlotta,2
Lopahin,Undirected,Trofimov,5
Lopahin,Undirected,Prohozhij,1
Dunjasha,Undirected,Epihodov,4
Dunjasha,Undirected,Anja,2
Dunjasha,Undirected,Varja,3
Dunjasha,Undirected,Jasha,5
Dunjasha,Undirected,Firs,2
Dunjasha,Undirected,Sharlotta,1
Epihodov,Undirected,Sharlotta,1
Epihodov,Undirected,Jasha,3
Epihodov,Undirected,Varja,2
Epihodov,Undirected,Anja,2
Epihodov,Undirected,Trofimov,1
Epihodov,Undirected,LjubovAndreevna,1
Epihodov,Undirected,Gaev,1
Anja,Undirected,LjubovAndreevna,9
Anja,Undirected,Varja,12
Anja,Undirected,Gaev,8
Anja,Undirected,Sharlotta,1
Anja,Undirected,Pischik,1
Anja,Undirected,Firs,2
Anja,Undirected,Trofimov,5
Anja,Undirected,Jasha,3
LjubovAndreevna,Undirected,Varja,12
LjubovAndreevna,Undirected,Gaev,19
LjubovAndreevna,Undirected,Sharlotta,3
LjubovAndreevna,Undirected,Pischik,9
LjubovAndreevna,Undirected,Firs,6
LjubovAndreevna,Undirected,Jasha,5
LjubovAndreevna,Undirected,Trofimov,6
LjubovAndreevna,Undirected,Prohozhij,1
LjubovAndreevna,Undirected,NachalnikStantsii,1
Varja,Undirected,Gaev,12
Varja,Undirected,Sharlotta,2
Varja,Undirected,Pischik,6
Varja,Undirected,Firs,5
Varja,Undirected,Jasha,5
Varja,Undirected,Trofimov,7
Gaev,Undirected,Sharlotta,2
Gaev,Undirected,Pischik,6
Gaev,Undirected,Firs,6
Gaev,Undirected,Jasha,5
Gaev,Undirected,Trofimov,3
Gaev,Undirected,Prohozhij,1
Sharlotta,Undirected,Pischik,2
Sharlotta,Undirected,Jasha,1
Sharlotta,Undirected,Trofimov,1
Sharlotta,Undirected,NachalnikStantsii,1
Pischik,Undirected,Firs,3
Pischik,Undirected,Jasha,1
Pischik,Undirected,Trofimov,4
Pischik,Undirected,NachalnikStantsii,1
Jasha,Undirected,Firs,4
Jasha,Undirected,Trofimov,1
Firs,Undirected,Trofimov,1
Trofimov,Undirected,NachalnikStantsii,1
