Id;Label
Gorodnichij;Городничий
AmmosFedorovichLjapkinTjapkin;Аммос Федорович
LukaLukich;Лука Лукич
Pochtmejster;Почтмейстер
Bobchinskij;Бобчинский
Dobchinskij;Добчинский
Svistunov;Свистунов
Kvartalnyj;Квартальный
Lekar;Лекарь Христофор Иванович
ChastnyjPristav;Частный пристав
AnnaAndreevna;Анна Андреевна
Gostja;Гостья
Rastakovskij;Растаковский
Kuptsy;Купцы
ZhenaLukiLukicha;Жена Луки Лукича
Derzhimorda;Держиморда
Hlestakov;Хлестаков
MarjaAntonovna;Марья Антоновна
Korobkin;Коробкин
UnterOfitsersha;Унтер-офицерша
OdinIzKuptsov;Один из купцов
GolosJamschika;Голос ямщика
Sluga;Слуга
Osip;Осип
ArtemijFilippovichZemljanika;Артемий Филиппович Земляника
OdnaIzDam;Одна из дам
Ljuljukov;Люлюков
ZhenaKorobkina;Жена Коробкина
Mishka;Мишка
Zhandarm;Жандарм
Slesarsha;Слесарша
MnogieIzGostej;Многие из гостей
