Source,Type,Target,Weight
Gorodnichij,Undirected,AmmosFedorovichLjapkinTjapkin,5
Gorodnichij,Undirected,ArtemijFilippovichZemljanika,5
Gorodnichij,Undirected,LukaLukich,6
Gorodnichij,Undirected,Pochtmejster,3
Gorodnichij,Undirected,Bobchinskij,6
Gorodnichij,Undirected,Dobchinskij,4
Gorodnichij,Undirected,ChastnyjPristav,4
Gorodnichij,Undirected,Lekar,1
Gorodnichij,Undirected,Kvartalnyj,2
Gorodnichij,Undirected,Svistunov,1
Gorodnichij,Undirected,AnnaAndreevna,10
Gorodnichij,Undirected,MarjaAntonovna,6
Gorodnichij,Undirected,Hlestakov,7
Gorodnichij,Undirected,Sluga,1
Gorodnichij,Undirected,Osip,2
Gorodnichij,Undirected,Derzhimorda,1
Gorodnichij,Undirected,GolosJamschika,1
Gorodnichij,Undirected,Kuptsy,2
Gorodnichij,Undirected,OdinIzKuptsov,1
Gorodnichij,Undirected,ZhenaLukiLukicha,2
Gorodnichij,Undirected,MnogieIzGostej,2
Gorodnichij,Undirected,ZhenaKorobkina,2
Gorodnichij,Undirected,Korobkin,2
Gorodnichij,Undirected,Rastakovskij,2
Gorodnichij,Undirected,Gostja,2
Gorodnichij,Undirected,Ljuljukov,1
Gorodnichij,Undirected,OdnaIzDam,1
AmmosFedorovichLjapkinTjapkin,Undirected,ArtemijFilippovichZemljanika,6
AmmosFedorovichLjapkinTjapkin,Undirected,LukaLukich,5
AmmosFedorovichLjapkinTjapkin,Undirected,Pochtmejster,4
AmmosFedorovichLjapkinTjapkin,Undirected,Bobchinskij,4
AmmosFedorovichLjapkinTjapkin,Undirected,Dobchinskij,4
AmmosFedorovichLjapkinTjapkin,Undirected,ChastnyjPristav,3
AmmosFedorovichLjapkinTjapkin,Undirected,Lekar,1
AmmosFedorovichLjapkinTjapkin,Undirected,Kvartalnyj,1
AmmosFedorovichLjapkinTjapkin,Undirected,Svistunov,1
AmmosFedorovichLjapkinTjapkin,Undirected,Hlestakov,1
AmmosFedorovichLjapkinTjapkin,Undirected,Rastakovskij,3
AmmosFedorovichLjapkinTjapkin,Undirected,AnnaAndreevna,2
AmmosFedorovichLjapkinTjapkin,Undirected,MarjaAntonovna,2
AmmosFedorovichLjapkinTjapkin,Undirected,MnogieIzGostej,2
AmmosFedorovichLjapkinTjapkin,Undirected,ZhenaKorobkina,2
AmmosFedorovichLjapkinTjapkin,Undirected,Korobkin,2
AmmosFedorovichLjapkinTjapkin,Undirected,Gostja,2
AmmosFedorovichLjapkinTjapkin,Undirected,Kuptsy,1
AmmosFedorovichLjapkinTjapkin,Undirected,Ljuljukov,1
AmmosFedorovichLjapkinTjapkin,Undirected,ZhenaLukiLukicha,1
AmmosFedorovichLjapkinTjapkin,Undirected,OdnaIzDam,1
ArtemijFilippovichZemljanika,Undirected,LukaLukich,6
ArtemijFilippovichZemljanika,Undirected,Bobchinskij,6
ArtemijFilippovichZemljanika,Undirected,Dobchinskij,5
ArtemijFilippovichZemljanika,Undirected,Pochtmejster,3
ArtemijFilippovichZemljanika,Undirected,ChastnyjPristav,3
ArtemijFilippovichZemljanika,Undirected,Lekar,1
ArtemijFilippovichZemljanika,Undirected,Kvartalnyj,1
ArtemijFilippovichZemljanika,Undirected,Svistunov,1
ArtemijFilippovichZemljanika,Undirected,Hlestakov,2
ArtemijFilippovichZemljanika,Undirected,Rastakovskij,3
ArtemijFilippovichZemljanika,Undirected,AnnaAndreevna,2
ArtemijFilippovichZemljanika,Undirected,MarjaAntonovna,2
ArtemijFilippovichZemljanika,Undirected,MnogieIzGostej,2
ArtemijFilippovichZemljanika,Undirected,ZhenaKorobkina,2
ArtemijFilippovichZemljanika,Undirected,Korobkin,2
ArtemijFilippovichZemljanika,Undirected,Gostja,2
ArtemijFilippovichZemljanika,Undirected,Kuptsy,1
ArtemijFilippovichZemljanika,Undirected,Ljuljukov,1
ArtemijFilippovichZemljanika,Undirected,ZhenaLukiLukicha,1
ArtemijFilippovichZemljanika,Undirected,OdnaIzDam,1
LukaLukich,Undirected,Bobchinskij,5
LukaLukich,Undirected,Dobchinskij,4
LukaLukich,Undirected,Pochtmejster,3
LukaLukich,Undirected,ChastnyjPristav,3
LukaLukich,Undirected,Lekar,1
LukaLukich,Undirected,Kvartalnyj,1
LukaLukich,Undirected,Svistunov,1
LukaLukich,Undirected,Hlestakov,2
LukaLukich,Undirected,ZhenaLukiLukicha,2
LukaLukich,Undirected,AnnaAndreevna,2
LukaLukich,Undirected,MarjaAntonovna,2
LukaLukich,Undirected,MnogieIzGostej,2
LukaLukich,Undirected,ZhenaKorobkina,2
LukaLukich,Undirected,Korobkin,2
LukaLukich,Undirected,Rastakovskij,2
LukaLukich,Undirected,Gostja,2
LukaLukich,Undirected,Kuptsy,1
LukaLukich,Undirected,Ljuljukov,1
LukaLukich,Undirected,OdnaIzDam,1
Pochtmejster,Undirected,Bobchinskij,3
Pochtmejster,Undirected,Dobchinskij,3
Pochtmejster,Undirected,ChastnyjPristav,2
