Source,Type,Target,Weight
vorotynskij,Undirected,shujskij,2
vorotynskij,Undirected,tsar_boris,1
vorotynskij,Undirected,bojare,1
shujskij,Undirected,tsar_boris,3
shujskij,Undirected,bojare,1
shujskij,Undirected,malchik,1
shujskij,Undirected,pushkin,1
shujskij,Undirected,ksenija,1
shujskij,Undirected,mamka,1
shujskij,Undirected,feodor,1
shujskij,Undirected,semen_godunov,1
shujskij,Undirected,basmanov,1
shujskij,Undirected,patriarh,1
shujskij,Undirected,pervyj_bojarin,1
shujskij,Undirected,drugoj_bojarin,1
odin_iz_naroda_1,Undirected,drugoj_iz_naroda_1,1
odin_iz_naroda_1,Undirected,tretij_iz_naroda_1,1
odin_iz_naroda_1,Undirected,narod,1
odin_iz_naroda_1,Undirected,schelkalov,1
drugoj_iz_naroda_1,Undirected,tretij_iz_naroda_1,1
drugoj_iz_naroda_1,Undirected,narod,1
drugoj_iz_naroda_1,Undirected,schelkalov,1
tretij_iz_naroda_1,Undirected,narod,1
tretij_iz_naroda_1,Undirected,schelkalov,1
narod,Undirected,schelkalov,1
narod,Undirected,odin_iz_naroda_2,1
narod,Undirected,drugoj_iz_naroda_2,1
narod,Undirected,tretij_iz_naroda_2,1
narod,Undirected,chetvertyj_iz_naroda_2,1
narod,Undirected,malchishki,1
narod,Undirected,staruha,1
narod,Undirected,jurodivyj,1
narod,Undirected,odin_iz_malchishek,1
narod,Undirected,tsar_boris,1
narod,Undirected,bojare,1
narod,Undirected,gavrila_pushkin,1
narod,Undirected,muzhik_na_amvone,1
narod,Undirected,nischij,1
narod,Undirected,strazha,1
narod,Undirected,feodor,1
narod,Undirected,odin_iz_naroda_3,1
narod,Undirected,drugoj_iz_naroda_3,1
narod,Undirected,ksenija,1
narod,Undirected,odin_iz_naroda_4,1
narod,Undirected,drugoj_iz_naroda_4,1
narod,Undirected,tretij_iz_naroda_4,1
narod,Undirected,mosalskij,1
tsar_boris,Undirected,bojare,3
tsar_boris,Undirected,pervyj_stolnik,1
tsar_boris,Undirected,vtoroj_stolnik,1
tsar_boris,Undirected,ksenija,1
tsar_boris,Undirected,mamka,1
tsar_boris,Undirected,feodor,2
tsar_boris,Undirected,semen_godunov,1
tsar_boris,Undirected,basmanov,2
tsar_boris,Undirected,patriarh,1
tsar_boris,Undirected,pervyj_bojarin,1
tsar_boris,Undirected,drugoj_bojarin,1
tsar_boris,Undirected,odin_iz_naroda_2,1
tsar_boris,Undirected,drugoj_iz_naroda_2,1
tsar_boris,Undirected,tretij_iz_naroda_2,1
tsar_boris,Undirected,chetvertyj_iz_naroda_2,1
tsar_boris,Undirected,malchishki,1
tsar_boris,Undirected,staruha,1
tsar_boris,Undirected,jurodivyj,1
tsar_boris,Undirected,odin_iz_malchishek,1
tsar_boris,Undirected,bojarin,1
tsar_boris,Undirected,odin_pridvornyj,1
tsar_boris,Undirected,drugoj_pridvornyj,1
tsar_boris,Undirected,tretij_pridvornyj,1
tsar_boris,Undirected,chetvertyj_pridvornyj,1
tsar_boris,Undirected,pjatyj_pridvornyj,1
tsar_boris,Undirected,shestoj_pridvornyj,1
bojare,Undirected,odin_iz_naroda_2,1
bojare,Undirected,drugoj_iz_naroda_2,1
bojare,Undirected,tretij_iz_naroda_2,1
bojare,Undirected,chetvertyj_iz_naroda_2,1
bojare,Undirected,malchishki,1
bojare,Undirected,staruha,1
bojare,Undirected,jurodivyj,1
bojare,Undirected,odin_iz_malchishek,1
bojare,Undirected,basmanov,1
bojare,Undirected,bojarin,1
bojare,Undirected,odin_pridvornyj,1
bojare,Undirected,drugoj_pridvornyj,1
bojare,Undirected,tretij_pridvornyj,1
bojare,Undirected,chetvertyj_pridvornyj,1
