Source,Type,Target,Weight
fischer,Undirected,mueller,12
fischer,Undirected,schlosser,14
fischer,Undirected,leutner,12
fischer,Undirected,stimmen,1
fischer,Undirected,boetticher,8
fischer,Undirected,wiesener,8
fischer,Undirected,alle_prolog,1
fischer,Undirected,lampenputzer,1
fischer,Undirected,dichter,5
fischer,Undirected,nachbar,7
fischer,Undirected,stimme_von_der_galerie,1
fischer,Undirected,lorenz,1
fischer,Undirected,barthel,1
fischer,Undirected,gottlieb,5
fischer,Undirected,hinze,10
fischer,Undirected,die_kunstrichter,1
fischer,Undirected,schuhmacher,1
fischer,Undirected,koenig,8
fischer,Undirected,prinzessin,7
fischer,Undirected,leander,5
fischer,Undirected,kammerdiener,2
fischer,Undirected,nathanael,2
fischer,Undirected,er,2
fischer,Undirected,sie,2
fischer,Undirected,koch,1
fischer,Undirected,historiograph,1
fischer,Undirected,ein_bedienter,2
fischer,Undirected,hanswurst,4
fischer,Undirected,ein_hofmann,1
fischer,Undirected,das_parterre,2
fischer,Undirected,alle_2-4,1
fischer,Undirected,die_vierfuessigen,1
fischer,Undirected,die_voegel,1
fischer,Undirected,besaenftiger,3
fischer,Undirected,maschinist,1
fischer,Undirected,wirt,1
fischer,Undirected,kunz,2
fischer,Undirected,bauer,2
fischer,Undirected,popanz,2
fischer,Undirected,amtmann,2
fischer,Undirected,alle_epilog,1
fischer,Undirected,hinter_dem_vorhange,1
fischer,Undirected,souffleur,1
mueller,Undirected,schlosser,12
mueller,Undirected,leutner,11
mueller,Undirected,stimmen,1
mueller,Undirected,boetticher,8
mueller,Undirected,wiesener,7
mueller,Undirected,alle_prolog,1
mueller,Undirected,lampenputzer,1
mueller,Undirected,dichter,4
mueller,Undirected,nachbar,6
mueller,Undirected,stimme_von_der_galerie,1
mueller,Undirected,lorenz,1
mueller,Undirected,barthel,1
mueller,Undirected,gottlieb,5
mueller,Undirected,hinze,7
mueller,Undirected,die_kunstrichter,1
mueller,Undirected,schuhmacher,1
mueller,Undirected,koenig,5
mueller,Undirected,prinzessin,4
mueller,Undirected,leander,4
mueller,Undirected,kammerdiener,1
mueller,Undirected,nathanael,1
mueller,Undirected,er,2
mueller,Undirected,sie,2
mueller,Undirected,maschinist,1
mueller,Undirected,hanswurst,3
mueller,Undirected,das_parterre,1
mueller,Undirected,wirt,1
mueller,Undirected,kunz,1
mueller,Undirected,ein_bedienter,1
mueller,Undirected,bauer,2
mueller,Undirected,popanz,2
mueller,Undirected,amtmann,2
mueller,Undirected,besaenftiger,2
mueller,Undirected,alle_epilog,1
mueller,Undirected,hinter_dem_vorhange,1
mueller,Undirected,souffleur,1
schlosser,Undirected,leutner,12
schlosser,Undirected,stimmen,1
schlosser,Undirected,boetticher,9
schlosser,Undirected,wiesener,7
schlosser,Undirected,alle_prolog,1
schlosser,Undirected,lampenputzer,1
schlosser,Undirected,dichter,4
schlosser,Undirected,nachbar,6
schlosser,Undirected,stimme_von_der_galerie,1
schlosser,Undirected,lorenz,1
schlosser,Undirected,barthel,1
schlosser,Undirected,gottlieb,5
schlosser,Undirected,hinze,10
schlosser,Undirected,die_kunstrichter,1
schlosser,Undirected,schuhmacher,1
schlosser,Undirected,koenig,7
schlosser,Undirected,prinzessin,6
schlosser,Undirected,leander,4
schlosser,Undirected,kammerdiener,2
schlosser,Undirected,nathanael,2
schlosser,Undirected,er,3
schlosser,Undirected,sie,3
schlosser,Undirected,koch,1
schlosser,Undirected,historiograph,1
schlosser,Undirected,maschinist,1
schlosser,Undirected,hanswurst,3
schlosser,Undirected,das_parterre,1
schlosser,Undirected,wirt,1
schlosser,Undirected,kunz,2
schlosser,Undirected,ein_bedienter,1
schlosser,Undirected,bauer,2
schlosser,Undirected,popanz,2
schlosser,Undirected,amtmann,2
schlosser,Undirected,besaenftiger,2
schlosser,Undirected,alle_epilog,1
schlosser,Undirected,hinter_dem_vorhange,1
schlosser,Undirected,souffleur,1
leutner,Undirected,stimmen,1
leutner,Undirected,boetticher,7
leutner,Undirected,wiesener,7
leutner,Undirected,alle_prolog,1
leutner,Undirected,lampenputzer,1
leutner,Undirected,dichter,4
leutner,Undirected,nachbar,6
leutner,Undirected,stimme_von_der_galerie,1
leutner,Undirected,lorenz,1
leutner,Undirected,barthel,1
leutner,Undirected,gottlieb,5
leutner,Undirected,hinze,8
leutner,Undirected,die_kunstrichter,1
leutner,Undirected,schuhmacher,1
leutner,Undirected,koenig,7
leutner,Undirected,prinzessin,6
leutner,Undirected,leander,4
leutner,Undirected,kammerdiener,2
leutner,Undirected,nathanael,2
leutner,Undirected,er,2
leutner,Undirected,sie,2
leutner,Undirected,koch,1
leutner,Undirected,historiograph,1
leutner,Undirected,maschinist,1
leutner,Undirected,hanswurst,3
leutner,Undirected,das_parterre,1
leutner,Undirected,wirt,1
leutner,Undirected,kunz,1
leutner,Undirected,ein_bedienter,2
leutner,Undirected,bauer,2
leutner,Undirected,popanz,2
leutner,Undirected,amtmann,2
leutner,Undirected,besaenftiger,2
leutner,Undirected,alle_epilog,1
leutner,Undirected,hinter_dem_vorhange,1
leutner,Undirected,souffleur,1
stimmen,Undirected,boetticher,1
stimmen,Undirected,wiesener,1
stimmen,Undirected,alle_prolog,1
stimmen,Undirected,lampenputzer,1
stimmen,Undirected,dichter,1
stimmen,Undirected,nachbar,1
stimmen,Undirected,stimme_von_der_galerie,1
boetticher,Undirected,wiesener,6
boetticher,Undirected,alle_prolog,1
boetticher,Undirected,lampenputzer,1
boetticher,Undirected,dichter,4
boetticher,Undirected,nachbar,5
boetticher,Undirected,stimme_von_der_galerie,1
boetticher,Undirected,maschinist,1
boetticher,Undirected,koenig,4
boetticher,Undirected,hanswurst,3
boetticher,Undirected,das_parterre,1
boetticher,Undirected,gottlieb,3
boetticher,Undirected,hinze,5
boetticher,Undirected,er,2
boetticher,Undirected,sie,2
boetticher,Undirected,prinzessin,3
boetticher,Undirected,leander,3
boetticher,Undirected,wirt,1
boetticher,Undirected,kunz,1
boetticher,Undirected,ein_bedienter,1
boetticher,Undirected,bauer,2
boetticher,Undirected,popanz,2
boetticher,Undirected,amtmann,2
boetticher,Undirected,besaenftiger,2
boetticher,Undirected,alle_epilog,1
boetticher,Undirected,hinter_dem_vorhange,1
boetticher,Undirected,souffleur,1
wiesener,Undirected,alle_prolog,1
wiesener,Undirected,lampenputzer,1
wiesener,Undirected,dichter,4
wiesener,Undirected,nachbar,8
wiesener,Undirected,stimme_von_der_galerie,1
wiesener,Undirected,hinze,6
wiesener,Undirected,er,2
wiesener,Undirected,sie,2
wiesener,Undirected,koenig,4
wiesener,Undirected,ein_bedienter,3
wiesener,Undirected,hanswurst,2
