Id;Label
direktor;Direktor
dichter;Dichter
lustige_person;Lustige Person
raphael;Raphael
gabriel;Gabriel
michael;Michael
mephistopheles;Mephistopheles
der_herr;Der Herr
faust;Faust
geist;Geist
wagner;Wagner
chor_der_engel;Chor der Engel
chor_der_weiber;Chor der Weiber
chor_der_jünger;Chor der Jünger
einige_handwerksburschen;Einige Handwerksburschen
andre_handwerksburschen;Andre Handwerksburschen
ein_handwerksbursch;Ein Handwerksbursch
zweiter_handwerksbursch;Zweiter Handwerksbursch
ein_dritter_handwerksbursch;Ein dritter Handwerksbursch
vierter_handwerksbursch;Vierter Handwerksbursch
fünfter_handwerksbursch;Fünfter Handwerksbursch
erstes_dienstmaedchen;Erstes Dienstmädchen
andres_dienstmaedchen;Andres Dienstmädchen
erster_schueler;Erster Schüler
buergermaedchen;Bürgermädchen
zweiter_schueler;Zweiter Schüler
buerger;Bürger
bettler;Bettler
andrer_buerger;Andrer Bürger
dritter_buerger;Dritter Bürger
alte;Alte
die_andre;Die Andre
soldaten;Soldaten
bauern_unter_der_linde;Bauern unter der Linde
alter_bauer;Alter Bauer
alle_vor_dem_tor;Alle (Vor dem Tor)
geister;Geister
geisterchor;Geisterchor
schüler;Schüler
frosch;Frosch
brander;Brander
siebel;Siebel
altmayer;Altmayer
die_tiere;Die Tiere
der_kater;Der Kater
kaetzin;Die Kätzin
die_hexe;Die Hexe
gretchen;Margarete (Gretchen)
marthe;Marthe
lieschen;Lieschen
valentin;Valentin
volk;Volk
böser_geist;Böser Geist
chor_im_dom;Chor im Dom
irrlicht;Irrlicht
hexen;Hexen
stimme_1;Stimme
stimme_2;Stimme
stimme_3;Stimme
stimme_4;Stimme
stimme_5;Stimme
hexenmeister;Hexenmeister
stimme_6;Stimme (oben)
stimmen;Stimmen (von unten)
stimme_7;Stimme (von unten)
stimme_8;Stimme (von oben)
stimme_9;Stimme (unten)
halbhexe;Halbhexe
general;General
minister;Minister
parvenu;Parvenu
autor;Autor
troedelhexe;Trödelhexe
die_schoene;Die Schöne
die_alte;Die Alte
proktophantasmist;Proktophantasmist
servibilis;Servibilis
theatermeister;Theatermeister
herold;Herold
oberon;Oberon
puck;Puck
ariel;Ariel
titania;Titania
orchester;Orchester
solo;Solo
geist_der_sich_erst_bildet;Geist, der sich erst bildet
ein_paerchen;Ein Parchen
neugieriger_reisender;Neugieriger Reisender
orthodox;Orthodox
nordischer_kuenstler;Nordischer Künstler
purist;Purist
junge_hexe;Junge Hexe
matrone;Matrone
kapellmeister;Kapellmeister
windfahne;Windfahne
xenien;Xenien
hennings;Hennings
musaget;Musaget
ci-devant_genius_der_zeit;Ci-devant Genius der Zeit
kranich;Kranich
weltkind;Weltkind
taenzer;Tänzer
tanzmeister;Tanzmeister
fideler;Fideler
dogmatiker;Dogmatiker
idealist;Idealist
realist;Realist
supernaturalist;Supernaturalist
skeptiker;Skeptiker
die_gewandten;Die Gewandten
die_unbehuelflichen;Die Unbehülflichen
irrlichter;Irrlichter
sternschnuppe;Sternschnuppe
die_massiven;Die Massiven
stimme_von_oben;Stimme (von oben)
