Source;Target;Type;Weight
cambronne;erster_adjutant_4-6a;Undirected;1
viele_stimmen_1-1a;viele_stimmen_1-1b;Undirected;1
ausrufer_bei_einem_guckkasten;herr_von_villeneuve;Undirected;1
gensdarmes_2-5;zweiter_buerger_2-5;Undirected;1
dritter_offizier;ein_offizier_4-6a;Undirected;1
gensdarmeriepatrouille_zu_fuss;vitry;Undirected;1
ausrufer_bei_einem_guckkasten;zeitungsausrufer;Undirected;1
andere_adjutanten_5-5a;andere_adjutanten_5-5b;Undirected;1
ein_aeltliches_frauenzimmer;vorstaedter_von_st_antoine;Undirected;1
alle_offiziere_der_suite;ein_anderer_adjutant_5-5;Undirected;1
bertrand;fouche;Undirected;1
eine_dame_der_halle_3-1a;viele_aus_dem_volk_3-1;Undirected;1
frau_des_schneidermeisters;weiber;Undirected;1
erster_buerger_3-2;schildwache;Undirected;1
sergeant_4-6;vitry;Undirected;1
ein_hauptmann_der_gensdarmes;wieder_andere;Undirected;1
frau_des_kraemers;jouve;Undirected;1
andere;eine_dame_der_halle_3-1b;Undirected;1
leute_verschiedenen_standes;viele_vorstaedter_b;Undirected;1
ein_anderer_alter_gardegrenadier;zweiter_buerger_3-2;Undirected;1
anderes_volk;ein_ankommender;Undirected;1
jouve;volk_im_hintergrunde;Undirected;1
ein_buerger_3-1a;frau_des_kraemers;Undirected;1
ein_adjutant_5-5b;napoleon;Undirected;1
ein_kraemer;viele_aus_dem_volk_3-1;Undirected;1
ein_alter_offizier_in_ziviltracht;viele_aus_dem_volk_1-1;Undirected;1
madame_de_serre;manche_der_anwesenden;Undirected;1
der_emigrant;wieder_andere;Undirected;1
andere_umstehende;savoyardenknabe;Undirected;1
ein_buerger_3-1a;volk_im_mittelgrunde;Undirected;1
ein_adjutant_4-6b;sergeant_4-6;Undirected;1
alter_gardegrenadier;ein_vorstaedter_3-2;Undirected;1
ausrufer_einer_menagerie;viele_stimmen_1-1b;Undirected;1
berliner_freiwilliger;gneisenau;Undirected;2
eine_dame_der_halle_3-1b;volk_im_hintergrunde;Undirected;1
einer_aus_der_masse;viele_vorstaedter_a;Undirected;1
ein_englischer_liniensoldat;ein_franzoesischer_soldat;Undirected;1
herzog_von_angouleme;herzogin_von_angouleme;Undirected;2
das_volk_1-1;viele_aus_dem_volk_1-1;Undirected;1
geschrei;viele_stimmen_1-1b;Undirected;1
franzoesische_adjutanten;sergeant_der_englischen_jaeger;Undirected;1
ein_vorstaedter_3-1c;eine_dame_der_halle_3-1b;Undirected;1
andere_adjutanten_5-5a;viele_adjutanten_5-5;Undirected;1
gensdarmes_1-1;herr_von_villeneuve;Undirected;1
der_emigrant;frau_des_kraemers;Undirected;1
einer_aus_dem_gefolge_des_herzogs;gensdarmes_1-1;Undirected;1
englischer_general;james;Undirected;1
fritz;james;Undirected;1
cambronne;viele_adjutanten_5-5;Undirected;1
adjutanten_4-6b;vitry;Undirected;1
herzog_von_wellington;milhaud;Undirected;1
herzog_von_berry;viele_aus_dem_volk_1-1;Undirected;1
offizier_2-5;vitry;Undirected;1
berliner_freiwilliger;bluecher;Undirected;2
chassecoeur;herr_von_villeneuve;Undirected;1
savoyardenknabe;vorstaedter_von_st_antoine;Undirected;1
alle_offiziere_der_suite;bertrand;Undirected;1
manche_der_anwesenden;viele_stimmen_1-2;Undirected;1
chassecoeur;weiber;Undirected;1
ein_franzoesischer_hauptmann;hauptmann_der_hannoverischen_scharfschuetzen;Undirected;1
ein_aeltliches_frauenzimmer;weiber;Undirected;1
ein_aeltliches_frauenzimmer;goettin_der_vernunft;Undirected;1
volk_im_hintergrunde;volk_im_mittelgrunde;Undirected;1
anderes_volk;noch_andere_a;Undirected;1
das_volk_1-1;die_stuhlvermieterin;Undirected;1
ein_anderer_aus_der_masse;savoyardenknabe;Undirected;1
ein_anderer_aus_der_masse;viele_vorstaedter_a;Undirected;1
ein_anderer_alter_gardegrenadier;hortense;Undirected;1
cambronne;einer_der_gardehoboisten;Undirected;1
ein_alter_offizier_in_ziviltracht;zeitungsausrufer;Undirected;1
bertrand;ordonnanzoffizier;Undirected;1
ein_heransprengender_adjutant_5-2;gneisenau;Undirected;1
erster_adjutant_4-6b;wieder_ein_gardist;Undirected;1
cambronne;ein_englischer_dragoneroffizier;Undirected;1
ein_hauptmann_der_schweizergarde;erster_buerger_1-2;Undirected;1
ein_buerger_3-1b;vorstaedter_und_anderes_volk;Undirected;1
ein_vorstaedter_3-1c;savoyardenknabe;Undirected;1
der_emigrant;volk_im_mittelgrunde;Undirected;1
einige;volk_im_mittelgrunde;Undirected;1
ein_polizeibeamter;herzog_von_berry;Undirected;1
ein_buerger_3-1a;schneidermeister;Undirected;1
eine_dame_der_halle_3-1a;savoyardenknabe;Undirected;1
bertrand;zweiter_adjutant_5-5;Undirected;1
ein_fluegeladjutant;sergeant_4-6;Undirected;1
noch_andere_b;savoyardenknabe;Undirected;1
der_nebenstehende;ein_aeltliches_frauenzimmer;Undirected;1
jouve;noch_andere_a;Undirected;1
ein_in_der_ferne_in_die_schlachtlinie_rueckendes_regiment;erster_adjutant_4-6a;Undirected;1
die_offiziere_der_garde;ein_offizier_4-6a;Undirected;1
ein_nebenstehender;frau_des_schneidermeisters;Undirected;1
ein_hauptmann_der_gensdarmes;eine_dame_der_halle_3-1b;Undirected;1
marquis_von_hauterive;savoyardenknabe;Undirected;1
ein_kleiner_ofenheizer;viele_stimmen_1-2;Undirected;1
ein_vorstaedter_3-1c;vorstaedter_von_st_antoine;Undirected;1
ein_buerger_3-1a;wieder_andere;Undirected;1
dritter_offizier;erster_offizier;Undirected;1
eine_alte_putzhaendlerin;volk_2-2;Undirected;1
bertrand;ein_adjutant_5-5c;Undirected;1
buelow;ein_heransprengender_adjutant_5-2;Undirected;1
herzog_von_angouleme;herzog_von_berry;Undirected;2
schweizergardist;zweiter_buerger_1-2;Undirected;1
andere;anderes_volk;Undirected;1
andere_adjutanten_5-5c;ein_ankommender_adjutant_5-5;Undirected;1
der_heransprengende_adjutant;ein_offizier_4-6b;Undirected;1
herzogin_von_chimay;preussischer_adjutant;Undirected;1
ein_anderer_aus_der_masse;ein_vorstaedter_3-1b;Undirected;1
adeline;die_hochlaendischen_regimenter;Undirected;1
erster_buerger_1-2;manche_der_anwesenden;Undirected;1
advokat_duchesne;frau_des_schneidermeisters;Undirected;1
adjutanten_5-5;ein_adjutant_5-5b;Undirected;1
cambronne;labedoyere;Undirected;1
ein_vorstaedter_3-1b;noch_andere_a;Undirected;1
marquis_von_hauterive;zeitungsausrufer;Undirected;1
buelow;ephraim;Undirected;1
einer_aus_dem_gefolge_des_herzogs;poebel;Undirected;1
ein_kapitaen_der_voltigeurs;erster_offizier;Undirected;1
labedoyere;zweiter_offizier;Undirected;1
ein_anderer_offizier;zweiter_offizier;Undirected;1
ausrufer_einer_bildergalerie;ein_alter_offizier_in_ziviltracht;Undirected;1
volk_im_mittelgrunde;weiber;Undirected;1
ein_anderer_aus_der_masse;schneidermeister;Undirected;1
der_nebenstehende;ein_buerger_3-1b;Undirected;1
ein_kleiner_ofenheizer;mehrere_stimmen_1-2;Undirected;1
ein_englischer_obrist;ein_franzoesischer_hauptmann;Undirected;1
bertrand;erster_offizier;Undirected;1
ein_franzoesischer_soldat;fritz;Undirected;1
ein_vorstaedter_3-1a;mehrere_stimmen_3-1a;Undirected;1
ein_adjutant_4-6a;ein_anderer_offizier;Undirected;1
gardemusik;zweiter_adjutant_5-5;Undirected;1
fuenfter_jaeger;marketenderin;Undirected;1
der_nebenstehende;vorstaedter_von_st_antoine;Undirected;1
der_adjutant_5-3;hauptmann_der_hannoverischen_scharfschuetzen;Undirected;1
garde_und_heer;vitry;Undirected;1
ausrufer_bei_einem_guckkasten;herzog_von_orleans;Undirected;1
bertrand;zweiter_offizier;Undirected;1
leute_verschiedenen_standes;noch_andere_a;Undirected;1
die_amme;ein_alter_marquis;Undirected;1
chassecoeur;poebel;Undirected;1
ein_vorstaedter_3-2;zweiter_buerger_3-2;Undirected;1
das_volk_1-1;geschrei;Undirected;1
der_emigrant;mehrere_stimmen_3-1b;Undirected;1
noch_andere_a;weiber;Undirected;1
ein_offizier_der_gardegrenadiere_zu_pferde;paechter_lacoste;Undirected;1
ein_fussgardist;wieder_ein_gardist;Undirected;1
frau_des_schneidermeisters;mehrere_stimmen_3-1b;Undirected;1
andere;ein_vorstaedter_3-1c;Undirected;1
eine_linieninfanteriepatrouille;offizier_2-5;Undirected;1
herzog_von_berry;poebel;Undirected;1
ein_junge;eine_dame;Undirected;1
savoyardenknabe;volk_2-2;Undirected;1
ein_junge;savoyardenknabe;Undirected;1
noch_andere_b;volk_im_vordergrunde;Undirected;1
die_offiziere_der_garde;ein_fussgardist;Undirected;1
ein_ankommender;vorstaedter_und_anderes_volk;Undirected;1
jouve;offizier_der_polnischen_lanzenreiter;Undirected;1
der_heransprengende_adjutant;garde_und_heer;Undirected;1
ein_anderer_adjutant_5-5;viele_adjutanten_5-5;Undirected;1
ein_adjutant_5-5c;ein_ankommender_adjutant_5-5;Undirected;1
andere;volk_3-1;Undirected;1
ein_hauptmann_der_gensdarmes;mehrere_stimmen_3-1a;Undirected;1
anderes_volk;volk_3-1;Undirected;1
die_garde_4-6;ein_fluegeladjutant;Undirected;1
ein_buerger_3-1a;jouve;Undirected;1
einer_aus_der_masse;savoyardenknabe;Undirected;1
sechster_jaeger;vierter_jaeger;Undirected;1
ausrufer_einer_bildergalerie;viele_stimmen_1-1b;Undirected;1
der_alte_gaertner;pierre;Undirected;1
ein_polizeibeamter;poebel;Undirected;1
ein_adjutant_5-5c;ein_offizier_der_suite;Undirected;1
ein_ankommender;eine_dame_der_halle_3-1b;Undirected;1
ausrufer_einer_bildergalerie;geschrei;Undirected;1
ein_anderer_aus_der_masse;goettin_der_vernunft;Undirected;1
major;vierter_jaeger;Undirected;1
die_damen_der_halle;die_nichte;Undirected;1
ein_englischer_obrist;franzoesische_adjutanten;Undirected;1
eine_dame_der_halle_3-1b;einer_aus_der_masse;Undirected;1
ein_offizier_4-6a;erster_adjutant_4-6a;Undirected;1
milhaud;paechter_lacoste;Undirected;1
alle_offiziere_der_suite;einer_der_gardehoboisten;Undirected;1
einer_aus_der_masse;viele_vorstaedter_b;Undirected;1
mehrere_stimmen_3-1b;viele_aus_dem_volk_3-1;Undirected;1
advokat_duchesne;ausrufer_bei_einem_guckkasten;Undirected;1
herzog_von_wellington;napoleon;Undirected;1
marschall_ney;oberzeremonienmeister;Undirected;1
anderes_volk;vorstaedter_und_anderes_volk;Undirected;1
