Source,Type,Target,Weight
just,Undirected,der_wirt,3
just,Undirected,von_tellheim,6
just,Undirected,der_bediente,1
just,Undirected,paul_werner,1
just,Undirected,franziska,3
just,Undirected,das_fraeulein,2
der_wirt,Undirected,von_tellheim,3
der_wirt,Undirected,franziska,7
der_wirt,Undirected,das_fraeulein,6
der_wirt,Undirected,paul_werner,1
der_wirt,Undirected,der_graf,1
von_tellheim,Undirected,die_dame,2
von_tellheim,Undirected,der_bediente,1
von_tellheim,Undirected,das_fraeulein,11
von_tellheim,Undirected,franziska,11
von_tellheim,Undirected,paul_werner,6
von_tellheim,Undirected,der_feldjaeger,1
von_tellheim,Undirected,der_eine_bediente,1
von_tellheim,Undirected,der_andere_bediente,1
von_tellheim,Undirected,der_graf,1
paul_werner,Undirected,franziska,7
paul_werner,Undirected,das_fraeulein,2
das_fraeulein,Undirected,franziska,22
das_fraeulein,Undirected,riccaut,1
das_fraeulein,Undirected,der_feldjaeger,1
das_fraeulein,Undirected,der_eine_bediente,1
das_fraeulein,Undirected,der_andere_bediente,1
das_fraeulein,Undirected,der_graf,1
franziska,Undirected,riccaut,1
franziska,Undirected,der_feldjaeger,1
franziska,Undirected,der_eine_bediente,1
franziska,Undirected,der_andere_bediente,1
der_eine_bediente,Undirected,der_andere_bediente,1
