Source,Type,Target,Weight
chor_der_alten_zauberer,Undirected,stellaris,1
chor_der_alten_zauberer,Undirected,mystifax,1
stellaris,Undirected,mystifax,3
stellaris,Undirected,lumpazi,1
stellaris,Undirected,fludribus,1
stellaris,Undirected,die_soehne,1
stellaris,Undirected,die_vaeter,1
stellaris,Undirected,hilaris,3
stellaris,Undirected,fortuna,3
stellaris,Undirected,alle_1-2,1
stellaris,Undirected,brillantine,2
stellaris,Undirected,amorosa,2
stellaris,Undirected,chor,2
stellaris,Undirected,wirtin,1
stellaris,Undirected,knieriem,3
stellaris,Undirected,zwirn,2
stellaris,Undirected,alle_gesellen,1
stellaris,Undirected,leim,1
stellaris,Undirected,alle_3-17,1
mystifax,Undirected,lumpazi,1
mystifax,Undirected,fludribus,1
mystifax,Undirected,die_soehne,1
mystifax,Undirected,die_vaeter,1
mystifax,Undirected,hilaris,2
mystifax,Undirected,fortuna,2
mystifax,Undirected,alle_1-2,1
mystifax,Undirected,brillantine,2
mystifax,Undirected,amorosa,1
mystifax,Undirected,chor,1
lumpazi,Undirected,fludribus,1
lumpazi,Undirected,die_soehne,1
lumpazi,Undirected,die_vaeter,1
lumpazi,Undirected,hilaris,1
lumpazi,Undirected,fortuna,1
lumpazi,Undirected,alle_1-2,1
lumpazi,Undirected,brillantine,1
fludribus,Undirected,die_soehne,1
fludribus,Undirected,die_vaeter,1
fludribus,Undirected,hilaris,1
fludribus,Undirected,fortuna,1
fludribus,Undirected,alle_1-2,1
fludribus,Undirected,brillantine,1
die_soehne,Undirected,die_vaeter,1
die_soehne,Undirected,hilaris,1
die_soehne,Undirected,fortuna,1
die_soehne,Undirected,alle_1-2,1
die_soehne,Undirected,brillantine,1
die_vaeter,Undirected,hilaris,1
die_vaeter,Undirected,fortuna,1
die_vaeter,Undirected,alle_1-2,1
die_vaeter,Undirected,brillantine,1
hilaris,Undirected,fortuna,3
hilaris,Undirected,alle_1-2,1
hilaris,Undirected,brillantine,2
hilaris,Undirected,amorosa,2
hilaris,Undirected,chor,2
hilaris,Undirected,knieriem,1
hilaris,Undirected,zwirn,1
hilaris,Undirected,alle_gesellen,1
hilaris,Undirected,leim,1
hilaris,Undirected,alle_3-17,1
fortuna,Undirected,alle_1-2,1
fortuna,Undirected,brillantine,2
fortuna,Undirected,amorosa,2
fortuna,Undirected,chor,2
fortuna,Undirected,knieriem,1
fortuna,Undirected,zwirn,1
fortuna,Undirected,alle_gesellen,1
fortuna,Undirected,leim,1
fortuna,Undirected,alle_3-17,1
alle_1-2,Undirected,brillantine,1
brillantine,Undirected,amorosa,1
brillantine,Undirected,chor,1
amorosa,Undirected,chor,2
amorosa,Undirected,knieriem,1
amorosa,Undirected,zwirn,1
amorosa,Undirected,alle_gesellen,1
amorosa,Undirected,leim,1
amorosa,Undirected,alle_3-17,1
chor,Undirected,pantsch,1
chor,Undirected,alle_1-10,1
chor,Undirected,leim,2
chor,Undirected,zwirn,3
chor,Undirected,knieriem,2
chor,Undirected,chor_der_gesellschaft,1
chor,Undirected,lueftig,1
chor,Undirected,camilla,1
chor,Undirected,laura,1
chor,Undirected,alle_gesellen,1
chor,Undirected,alle_3-17,1
leim,Undirected,knieriem,10
leim,Undirected,zwirn,11
leim,Undirected,alle_1-5,1
leim,Undirected,fassel,1
leim,Undirected,hannerl,2
leim,Undirected,handwerksbursch,1
leim,Undirected,pantsch,2
leim,Undirected,stimmen,1
leim,Undirected,sepherl,2
leim,Undirected,hausierer,1
leim,Undirected,alle_1-8,1
leim,Undirected,alle_weiber,1
leim,Undirected,ein_zimmermann,1
leim,Undirected,alle_1-10,1
leim,Undirected,gertraud,1
leim,Undirected,hobelmann,5
leim,Undirected,peppi,3
leim,Undirected,alle_2-7,1
leim,Undirected,strudl,1
leim,Undirected,alle_gesellen,1
leim,Undirected,alle_3-17,1
knieriem,Undirected,zwirn,14
knieriem,Undirected,alle_1-5,1
knieriem,Undirected,fassel,1
knieriem,Undirected,hannerl,2
knieriem,Undirected,handwerksbursch,1
knieriem,Undirected,pantsch,2
knieriem,Undirected,stimmen,1
knieriem,Undirected,sepherl,2
knieriem,Undirected,hausierer,1
knieriem,Undirected,alle_1-8,1
knieriem,Undirected,alle_weiber,1
knieriem,Undirected,ein_zimmermann,1
knieriem,Undirected,alle_1-10,1
knieriem,Undirected,gertraud,1
knieriem,Undirected,reserl,1
knieriem,Undirected,hobelmann,1
knieriem,Undirected,peppi,1
knieriem,Undirected,wirtin,1
knieriem,Undirected,alle_bauern,1
knieriem,Undirected,alle_gesellen,1
knieriem,Undirected,alle_3-17,1
zwirn,Undirected,alle_1-5,1
zwirn,Undirected,fassel,1
zwirn,Undirected,hannerl,2
zwirn,Undirected,handwerksbursch,1
zwirn,Undirected,pantsch,2
zwirn,Undirected,stimmen,1
zwirn,Undirected,sepherl,2
zwirn,Undirected,hausierer,1
zwirn,Undirected,alle_1-8,1
zwirn,Undirected,alle_weiber,1
zwirn,Undirected,ein_zimmermann,1
zwirn,Undirected,alle_1-10,1
zwirn,Undirected,erster_bedienter,2
zwirn,Undirected,erster_gesell,1
zwirn,Undirected,zweiter_gesell,1
zwirn,Undirected,zweiter_bedienter,1
zwirn,Undirected,maler,2
zwirn,Undirected,hackauf,1
zwirn,Undirected,windwachel,3
zwirn,Undirected,lueftig,2
zwirn,Undirected,palpiti,1
zwirn,Undirected,camilla,2
zwirn,Undirected,laura,2
zwirn,Undirected,chor_der_gesellschaft,1
zwirn,Undirected,gertraud,1
zwirn,Undirected,reserl,2
zwirn,Undirected,hobelmann,2
zwirn,Undirected,peppi,1
zwirn,Undirected,wirtin,1
zwirn,Undirected,alle_bauern,1
zwirn,Undirected,alle_gesellen,1
zwirn,Undirected,alle_3-17,1
alle_1-5,Undirected,fassel,1
alle_1-5,Undirected,hannerl,1
alle_1-5,Undirected,handwerksbursch,1
fassel,Undirected,hannerl,1
fassel,Undirected,handwerksbursch,1
hannerl,Undirected,handwerksbursch,1
hannerl,Undirected,sepherl,1
pantsch,Undirected,stimmen,1
pantsch,Undirected,alle_1-10,1
sepherl,Undirected,alle_weiber,1
sepherl,Undirected,ein_zimmermann,1
hausierer,Undirected,alle_1-8,1
alle_weiber,Undirected,ein_zimmermann,1
fremder,Undirected,gertraud,1
fremder,Undirected,hobelmann,1
gertraud,Undirected,reserl,2
hobelmann,Undirected,peppi,3
hobelmann,Undirected,alle_2-7,1
hobelmann,Undirected,strudl,1
peppi,Undirected,alle_2-7,1
peppi,Undirected,strudl,1
alle_2-7,Undirected,strudl,1
erster_bedienter,Undirected,erster_gesell,1
erster_bedienter,Undirected,zweiter_gesell,1
erster_bedienter,Undirected,zweiter_bedienter,1
erster_bedienter,Undirected,camilla,1
erster_bedienter,Undirected,windwachel,1
erster_bedienter,Undirected,laura,1
erster_gesell,Undirected,zweiter_gesell,1
erster_gesell,Undirected,zweiter_bedienter,1
zweiter_gesell,Undirected,zweiter_bedienter,1
maler,Undirected,hackauf,1
windwachel,Undirected,lueftig,1
windwachel,Undirected,palpiti,2
windwachel,Undirected,camilla,2
windwachel,Undirected,laura,2
lueftig,Undirected,chor_der_gesellschaft,1
lueftig,Undirected,camilla,1
lueftig,Undirected,laura,1
palpiti,Undirected,camilla,1
palpiti,Undirected,laura,1
camilla,Undirected,laura,3
camilla,Undirected,chor_der_gesellschaft,1
laura,Undirected,chor_der_gesellschaft,1
wirtin,Undirected,alle_bauern,1
alle_gesellen,Undirected,alle_3-17,1
