Source,Type,Target,Weight
silenus,Undirected,thalia,2
silenus,Undirected,melpomene,1
silenus,Undirected,tharsus,1
silenus,Undirected,sedulius,1
silenus,Undirected,alethea,1
thalia,Undirected,alethea,1
thalia,Undirected,melpomene,1
thalia,Undirected,sedulius,1
thalia,Undirected,tharsus,1
thalia,Undirected,themis,1
melpomene,Undirected,tharsus,3
melpomene,Undirected,sedulius,3
melpomene,Undirected,alethea,4
melpomene,Undirected,obsequens,1
melpomene,Undirected,arete,1
melpomene,Undirected,vigilantia,1
melpomene,Undirected,meletander,1
melpomene,Undirected,euphrosyne,1
melpomene,Undirected,apollo,1
melpomene,Undirected,themis,2
tharsus,Undirected,sedulius,3
tharsus,Undirected,alethea,3
tharsus,Undirected,obsequens,1
tharsus,Undirected,themis,1
sedulius,Undirected,alethea,3
sedulius,Undirected,obsequens,1
sedulius,Undirected,themis,1
alethea,Undirected,obsequens,1
alethea,Undirected,arete,1
alethea,Undirected,vigilantia,1
alethea,Undirected,meletander,1
alethea,Undirected,euphrosyne,1
alethea,Undirected,apollo,1
alethea,Undirected,themis,2
alethea,Undirected,pseudolus,1
arete,Undirected,vigilantia,2
arete,Undirected,meletander,2
arete,Undirected,euphrosyne,1
arete,Undirected,apollo,2
arete,Undirected,themis,2
vigilantia,Undirected,meletander,2
vigilantia,Undirected,euphrosyne,1
vigilantia,Undirected,apollo,2
vigilantia,Undirected,themis,2
meletander,Undirected,euphrosyne,1
meletander,Undirected,apollo,2
meletander,Undirected,themis,2
euphrosyne,Undirected,apollo,1
euphrosyne,Undirected,themis,1
apollo,Undirected,themis,2
