Source,Type,Target,Weight
wendla,Undirected,frau_bergmann,3
wendla,Undirected,martha,1
wendla,Undirected,thea,1
wendla,Undirected,melchior,2
wendla,Undirected,dr_brausepulver,1
wendla,Undirected,ina,1
frau_bergmann,Undirected,dr_brausepulver,1
frau_bergmann,Undirected,ina,1
melchior,Undirected,otto,2
melchior,Undirected,moritz,4
melchior,Undirected,georg,2
melchior,Undirected,robert,2
melchior,Undirected,ernst,1
melchior,Undirected,laemmermeier,1
melchior,Undirected,haenschen_rilow,1
melchior,Undirected,knochenbruch,1
melchior,Undirected,hungergurt,2
melchior,Undirected,frau_gabor,1
melchior,Undirected,sonnenstich,1
melchior,Undirected,knueppeldick,1
melchior,Undirected,zungenschlag,1
melchior,Undirected,habebald,1
melchior,Undirected,fliegentod,1
melchior,Undirected,diethelm,1
melchior,Undirected,reinhold,1
melchior,Undirected,ruprecht,1
melchior,Undirected,helmuth,1
melchior,Undirected,gaston,1
melchior,Undirected,dr_prokrustes,1
melchior,Undirected,der_schlossermeister,1
melchior,Undirected,der_vermummte_herr,1
otto,Undirected,moritz,2
otto,Undirected,georg,3
otto,Undirected,robert,3
otto,Undirected,ernst,2
otto,Undirected,laemmermeier,1
otto,Undirected,haenschen_rilow,2
otto,Undirected,knochenbruch,2
otto,Undirected,hungergurt,1
otto,Undirected,pastor_kahlbauch,1
otto,Undirected,rentier_stiefel,1
otto,Undirected,sonnenstich,1
otto,Undirected,onkel_probst,1
otto,Undirected,freund_ziegenmelker,1
otto,Undirected,ilse,1
otto,Undirected,martha,1
moritz,Undirected,georg,2
moritz,Undirected,robert,2
moritz,Undirected,ernst,1
moritz,Undirected,laemmermeier,1
moritz,Undirected,haenschen_rilow,1
moritz,Undirected,knochenbruch,1
moritz,Undirected,hungergurt,1
moritz,Undirected,frau_gabor,1
moritz,Undirected,ilse,1
moritz,Undirected,der_vermummte_herr,1
georg,Undirected,robert,3
georg,Undirected,ernst,2
georg,Undirected,laemmermeier,1
georg,Undirected,haenschen_rilow,2
georg,Undirected,knochenbruch,2
georg,Undirected,hungergurt,1
georg,Undirected,pastor_kahlbauch,1
georg,Undirected,rentier_stiefel,1
georg,Undirected,sonnenstich,1
georg,Undirected,onkel_probst,1
georg,Undirected,freund_ziegenmelker,1
georg,Undirected,ilse,1
georg,Undirected,martha,1
robert,Undirected,ernst,2
robert,Undirected,laemmermeier,1
robert,Undirected,haenschen_rilow,2
robert,Undirected,knochenbruch,2
robert,Undirected,hungergurt,1
robert,Undirected,pastor_kahlbauch,1
robert,Undirected,rentier_stiefel,1
robert,Undirected,sonnenstich,1
robert,Undirected,onkel_probst,1
robert,Undirected,freund_ziegenmelker,1
robert,Undirected,ilse,1
robert,Undirected,martha,1
ernst,Undirected,pastor_kahlbauch,1
ernst,Undirected,rentier_stiefel,1
ernst,Undirected,sonnenstich,1
ernst,Undirected,knochenbruch,1
ernst,Undirected,onkel_probst,1
ernst,Undirected,freund_ziegenmelker,1
ernst,Undirected,haenschen_rilow,2
ernst,Undirected,ilse,1
ernst,Undirected,martha,1
martha,Undirected,thea,1
martha,Undirected,pastor_kahlbauch,1
martha,Undirected,rentier_stiefel,1
martha,Undirected,sonnenstich,1
martha,Undirected,knochenbruch,1
martha,Undirected,onkel_probst,1
martha,Undirected,freund_ziegenmelker,1
martha,Undirected,haenschen_rilow,1
martha,Undirected,ilse,1
laemmermeier,Undirected,haenschen_rilow,1
laemmermeier,Undirected,knochenbruch,1
laemmermeier,Undirected,hungergurt,1
haenschen_rilow,Undirected,knochenbruch,2
haenschen_rilow,Undirected,hungergurt,1
haenschen_rilow,Undirected,pastor_kahlbauch,1
haenschen_rilow,Undirected,rentier_stiefel,1
haenschen_rilow,Undirected,sonnenstich,1
haenschen_rilow,Undirected,onkel_probst,1
