Source,Type,Target,Weight
oberst,Undirected,ida,4
oberst,Undirected,oldendorf,4
oberst,Undirected,senden,5
oberst,Undirected,karl,4
oberst,Undirected,blumenberg,4
oberst,Undirected,schmock,3
oberst,Undirected,adelheid,6
oberst,Undirected,korb,5
oberst,Undirected,gast,1
oberst,Undirected,henning,1
oberst,Undirected,bolz,3
oberst,Undirected,kaempe,2
oberst,Undirected,bellmaus,3
oberst,Undirected,piepenbrink,2
oberst,Undirected,frau_piepenbrink,1
oberst,Undirected,kleinmichel,1
oberst,Undirected,fritz_kleinmichel,2
oberst,Undirected,berta,1
oberst,Undirected,maennerchor,1
oberst,Undirected,mueller,1
oberst,Undirected,koerner,1
oberst,Undirected,schwarz,1
ida,Undirected,oldendorf,4
ida,Undirected,senden,4
ida,Undirected,karl,3
ida,Undirected,blumenberg,3
ida,Undirected,schmock,1
ida,Undirected,adelheid,4
ida,Undirected,korb,3
ida,Undirected,bolz,2
ida,Undirected,bellmaus,2
ida,Undirected,piepenbrink,1
ida,Undirected,maennerchor,1
ida,Undirected,fritz_kleinmichel,1
ida,Undirected,mueller,1
ida,Undirected,kaempe,1
ida,Undirected,koerner,1
ida,Undirected,schwarz,1
oldendorf,Undirected,senden,4
oldendorf,Undirected,karl,3
oldendorf,Undirected,blumenberg,3
oldendorf,Undirected,schmock,1
oldendorf,Undirected,adelheid,4
oldendorf,Undirected,korb,4
oldendorf,Undirected,bolz,3
oldendorf,Undirected,mueller,2
oldendorf,Undirected,bellmaus,3
oldendorf,Undirected,kaempe,2
oldendorf,Undirected,henning,1
oldendorf,Undirected,pavoni,1
oldendorf,Undirected,piepenbrink,1
oldendorf,Undirected,maennerchor,1
oldendorf,Undirected,fritz_kleinmichel,1
oldendorf,Undirected,koerner,1
oldendorf,Undirected,schwarz,1
senden,Undirected,karl,3
senden,Undirected,blumenberg,4
senden,Undirected,schmock,2
senden,Undirected,adelheid,5
senden,Undirected,korb,4
senden,Undirected,gast,1
senden,Undirected,henning,1
senden,Undirected,bolz,3
senden,Undirected,kaempe,2
senden,Undirected,bellmaus,3
senden,Undirected,piepenbrink,2
senden,Undirected,frau_piepenbrink,1
senden,Undirected,kleinmichel,1
senden,Undirected,fritz_kleinmichel,2
senden,Undirected,berta,1
senden,Undirected,maennerchor,1
senden,Undirected,mueller,1
senden,Undirected,koerner,1
senden,Undirected,schwarz,1
karl,Undirected,blumenberg,3
karl,Undirected,schmock,2
karl,Undirected,adelheid,4
karl,Undirected,korb,4
karl,Undirected,bolz,1
karl,Undirected,bellmaus,1
karl,Undirected,piepenbrink,1
karl,Undirected,maennerchor,1
karl,Undirected,fritz_kleinmichel,1
blumenberg,Undirected,schmock,2
blumenberg,Undirected,adelheid,4
blumenberg,Undirected,korb,4
blumenberg,Undirected,gast,1
blumenberg,Undirected,henning,1
blumenberg,Undirected,bolz,2
blumenberg,Undirected,kaempe,1
blumenberg,Undirected,bellmaus,2
blumenberg,Undirected,piepenbrink,2
blumenberg,Undirected,frau_piepenbrink,1
blumenberg,Undirected,kleinmichel,1
blumenberg,Undirected,fritz_kleinmichel,2
blumenberg,Undirected,berta,1
blumenberg,Undirected,maennerchor,1
schmock,Undirected,adelheid,3
schmock,Undirected,korb,3
schmock,Undirected,gast,1
schmock,Undirected,henning,1
schmock,Undirected,bolz,1
schmock,Undirected,kaempe,1
schmock,Undirected,bellmaus,1
schmock,Undirected,piepenbrink,1
schmock,Undirected,frau_piepenbrink,1
schmock,Undirected,kleinmichel,1
schmock,Undirected,fritz_kleinmichel,1
schmock,Undirected,berta,1
adelheid,Undirected,korb,5
adelheid,Undirected,gast,1
adelheid,Undirected,henning,1
adelheid,Undirected,bolz,3
adelheid,Undirected,kaempe,2
adelheid,Undirected,bellmaus,3
adelheid,Undirected,piepenbrink,2
adelheid,Undirected,frau_piepenbrink,1
adelheid,Undirected,kleinmichel,1
adelheid,Undirected,fritz_kleinmichel,2
adelheid,Undirected,berta,1
adelheid,Undirected,maennerchor,1
adelheid,Undirected,mueller,1
adelheid,Undirected,koerner,1
adelheid,Undirected,schwarz,1
korb,Undirected,bolz,3
korb,Undirected,mueller,1
korb,Undirected,bellmaus,3
korb,Undirected,kaempe,2
korb,Undirected,henning,2
korb,Undirected,pavoni,1
korb,Undirected,gast,1
korb,Undirected,piepenbrink,2
korb,Undirected,frau_piepenbrink,1
korb,Undirected,kleinmichel,1
korb,Undirected,fritz_kleinmichel,2
korb,Undirected,berta,1
korb,Undirected,maennerchor,1
bolz,Undirected,mueller,2
bolz,Undirected,bellmaus,4
bolz,Undirected,kaempe,3
bolz,Undirected,henning,2
bolz,Undirected,pavoni,1
bolz,Undirected,gast,1
bolz,Undirected,piepenbrink,2
bolz,Undirected,frau_piepenbrink,1
bolz,Undirected,kleinmichel,1
bolz,Undirected,fritz_kleinmichel,2
bolz,Undirected,berta,1
bolz,Undirected,maennerchor,1
bolz,Undirected,koerner,1
bolz,Undirected,schwarz,1
mueller,Undirected,bellmaus,2
mueller,Undirected,kaempe,2
mueller,Undirected,henning,1
mueller,Undirected,pavoni,1
mueller,Undirected,koerner,1
mueller,Undirected,schwarz,1
bellmaus,Undirected,kaempe,3
bellmaus,Undirected,henning,2
bellmaus,Undirected,pavoni,1
bellmaus,Undirected,gast,1
bellmaus,Undirected,piepenbrink,2
bellmaus,Undirected,frau_piepenbrink,1
bellmaus,Undirected,kleinmichel,1
bellmaus,Undirected,fritz_kleinmichel,2
bellmaus,Undirected,berta,1
bellmaus,Undirected,maennerchor,1
bellmaus,Undirected,koerner,1
bellmaus,Undirected,schwarz,1
kaempe,Undirected,henning,2
kaempe,Undirected,pavoni,1
kaempe,Undirected,gast,1
kaempe,Undirected,piepenbrink,1
kaempe,Undirected,frau_piepenbrink,1
kaempe,Undirected,kleinmichel,1
kaempe,Undirected,fritz_kleinmichel,1
kaempe,Undirected,berta,1
kaempe,Undirected,koerner,1
kaempe,Undirected,schwarz,1
henning,Undirected,pavoni,1
henning,Undirected,gast,1
henning,Undirected,piepenbrink,1
henning,Undirected,frau_piepenbrink,1
henning,Undirected,kleinmichel,1
henning,Undirected,fritz_kleinmichel,1
henning,Undirected,berta,1
gast,Undirected,piepenbrink,1
gast,Undirected,frau_piepenbrink,1
gast,Undirected,kleinmichel,1
gast,Undirected,fritz_kleinmichel,1
gast,Undirected,berta,1
piepenbrink,Undirected,frau_piepenbrink,1
piepenbrink,Undirected,kleinmichel,1
piepenbrink,Undirected,fritz_kleinmichel,2
piepenbrink,Undirected,berta,1
piepenbrink,Undirected,maennerchor,1
frau_piepenbrink,Undirected,kleinmichel,1
frau_piepenbrink,Undirected,fritz_kleinmichel,1
frau_piepenbrink,Undirected,berta,1
kleinmichel,Undirected,fritz_kleinmichel,1
kleinmichel,Undirected,berta,1
fritz_kleinmichel,Undirected,berta,1
fritz_kleinmichel,Undirected,maennerchor,1
koerner,Undirected,schwarz,1
