Source,Type,Target,Weight
licht,Undirected,adam,7
licht,Undirected,der_bediente,1
licht,Undirected,erste_magd,1
licht,Undirected,zweite_magd,1
licht,Undirected,walter,5
licht,Undirected,eve,4
licht,Undirected,frau_marthe,3
licht,Undirected,ruprecht,4
licht,Undirected,veit,4
licht,Undirected,frau_brigitte,2
licht,Undirected,mehrere,1
adam,Undirected,der_bediente,1
adam,Undirected,erste_magd,3
adam,Undirected,zweite_magd,2
adam,Undirected,walter,7
adam,Undirected,der_buettel,1
adam,Undirected,eve,3
adam,Undirected,frau_marthe,4
adam,Undirected,ruprecht,4
adam,Undirected,veit,3
adam,Undirected,frau_brigitte,1
der_bediente,Undirected,erste_magd,1
der_bediente,Undirected,zweite_magd,1
erste_magd,Undirected,zweite_magd,1
erste_magd,Undirected,walter,2
erste_magd,Undirected,ruprecht,1
erste_magd,Undirected,frau_marthe,1
zweite_magd,Undirected,walter,1
zweite_magd,Undirected,der_buettel,1
walter,Undirected,der_buettel,1
walter,Undirected,eve,4
walter,Undirected,frau_marthe,5
walter,Undirected,ruprecht,5
walter,Undirected,veit,4
walter,Undirected,frau_brigitte,2
walter,Undirected,mehrere,1
frau_marthe,Undirected,veit,4
frau_marthe,Undirected,ruprecht,5
frau_marthe,Undirected,eve,4
frau_marthe,Undirected,frau_brigitte,1
veit,Undirected,ruprecht,5
veit,Undirected,eve,5
veit,Undirected,frau_brigitte,2
veit,Undirected,mehrere,1
ruprecht,Undirected,eve,5
ruprecht,Undirected,frau_brigitte,2
ruprecht,Undirected,mehrere,1
eve,Undirected,frau_brigitte,2
eve,Undirected,mehrere,1
frau_brigitte,Undirected,mehrere,1
