Id;Label
wolf;Wolf
thuiskomar;Thuiskomar
dagobert;Dagobert
selgar;Selgar
ein_fuerst;Ein Fürst
ein_cherusker_1-1;Ein Cherusker (I/1)
thusnelda;Thusnelda
das_gefolge_1-2;Das Gefolge (I/2)
hermann;Hermann
ventidius;Ventidius
scaepio;Scäpio
eginhardt;Eginhardt
gertrud;Gertrud
luitgar;Luitgar
erster_aeltester;Erster Ältester
zweiter_aeltester;Zweiter Ältester
der_erste_hauptmann;Der erste Hauptmann
der_zweite_hauptmann;Der zweite Hauptmann
der_dritte_hauptmann;Der dritte Hauptmann
der_cherusker_3-4;Der Cherusker (III/4)
varus;Varus
septimius;Septimius
fust;Fust
gueltar;Gueltar
aristan;Aristan
der_herold;Der Herold
crassus;Crassus
marbod;Marbod
attarin;Attarin
rinold;Rinold
adelhart;Adelhart
einer_der_beiden_hauptleute;Einer der beiden Hauptleute
komar;Komar
der_greis;Der Greis
ein_junges_maedchen;Ein junges Mädchen
ein_anderes_junges_maedchen;Ein anderes junges Mädchen
die_mutter;Die Mutter
ein_mann;Ein Mann
ein_anderer_mann;Ein anderer Mann
ein_dritter_mann;Ein dritter Mann
ein_weib;Ein Weib (aus dem Haufen)
das_volk;Das Volk
einige_stimmen;Einige Stimmen
der_erste_cherusker_4;Der erste Cherusker (IV)
der_zweite_cherusker_4;Der zweite Cherusker (IV)
eine_stimme_aus_dem_volke;Eine Stimme (aus dem Volke)
mehrere_stimmen;Mehrere Stimmen
teuthold;Teuthold
der_erste_vetter;Der erste Vetter
der_zweite_vetter;Der zweite Vetter
eine_stimme_aus_dem_hintergrunde;Eine Stimme (aus dem Hintergrunde)
eine_andere_stimme;Eine andere Stimme
eine_dritte_stimme;Eine dritte Stimme
der_trabant;Der Trabant
astolf;Astolf
die_feldherrn_5-1;Die Feldherrn (V/1)
ein_hauptmann_5;Ein Hauptmann (V/1–6)
erster_feldherr;Erster Feldherr
zweiter_feldherr;Zweiter Feldherr
dritter_feldherr;Dritter Feldherr
ein_roemer_5-1;Ein Römer (V/1)
der_erste_cherusker_5-2;Der erste Cherusker (V/2)
der_zweite_cherusker_5-2;Der zweite Cherusker (V/2)
der_dritte_cherusker_5-2;Der dritte Cherusker (V/2)
die_alraune;Die Alraune
ein_roemer_5-6;Ein Römer (V/6)
ein_roemer_5-8;Ein Römer (V/8)
egbert;Egbert
erster_feldherr_5-10;Erster Feldherr (V/10)
ein_hauptmann_5-10;Ein Hauptmann (V/10)
winfried;Winfried
die_feldherrn_5-11;Die Feldherrn (V/11)
hauptleute;Hauptleute
das_cheruskerheer;Das Cheruskerheer
der_cherusker_5-12;Der Cherusker (V/12)
chor_der_barden;Chor der Barden
ein_hauptmann_5-14;Ein Hauptmann (V/14)
ein_anderer_hauptmann_5-14;Ein anderer Hauptmann (V/14)
childerich;Childerich
ein_cherusker_5-19;Ein Cherusker (V/19)
ein_feldherr;Ein Feldherr
das_gefolge_5-22;Das Gefolge (V/22)
ein_cherusker_5-23;Ein Cherusker (V/23)
die_suevischen_feldherrn;Die suevischen Feldherrn
