Source,Type,Target,Weight
wild,Undirected,blasius,7
wild,Undirected,la_feu,7
wild,Undirected,der_wirt,1
wild,Undirected,betty,1
wild,Undirected,kathrin,3
wild,Undirected,louise,3
wild,Undirected,caroline,11
wild,Undirected,berkley,5
wild,Undirected,kapitaen,5
wild,Undirected,mohr,4
wild,Undirected,lord_bushy,2
blasius,Undirected,la_feu,11
blasius,Undirected,der_wirt,2
blasius,Undirected,betty,1
blasius,Undirected,kathrin,3
blasius,Undirected,louise,3
blasius,Undirected,kapitaen,2
blasius,Undirected,mohr,1
blasius,Undirected,caroline,1
la_feu,Undirected,der_wirt,2
la_feu,Undirected,betty,1
la_feu,Undirected,kathrin,6
la_feu,Undirected,louise,4
la_feu,Undirected,kapitaen,3
la_feu,Undirected,mohr,1
la_feu,Undirected,caroline,1
la_feu,Undirected,berkley,1
der_wirt,Undirected,kapitaen,1
der_wirt,Undirected,mohr,1
berkley,Undirected,caroline,8
berkley,Undirected,bediente,1
berkley,Undirected,kapitaen,9
berkley,Undirected,mohr,4
berkley,Undirected,kathrin,2
berkley,Undirected,louise,1
berkley,Undirected,lord_bushy,1
caroline,Undirected,louise,4
caroline,Undirected,kathrin,3
caroline,Undirected,kapitaen,6
caroline,Undirected,mohr,6
caroline,Undirected,betty,1
caroline,Undirected,lord_bushy,2
louise,Undirected,kathrin,7
louise,Undirected,kapitaen,1
louise,Undirected,mohr,1
kathrin,Undirected,kapitaen,2
kathrin,Undirected,mohr,1
kapitaen,Undirected,mohr,5
kapitaen,Undirected,lord_bushy,1
mohr,Undirected,lord_bushy,2
